iter	Passed	Remaining
0	100	50053
1	206	51496
2	326	54097
3	433	53715
4	531	52632
5	632	52047
6	720	50754
7	815	50171
8	904	49353
9	995	48762
10	1086	48311
11	1182	48094
12	1269	47548
13	1363	47336
14	1448	46819
15	1539	46559
16	1628	46258
17	1724	46190
18	1829	46316
19	1939	46554
20	2056	46911
21	2175	47260
22	2319	48105
23	2434	48277
24	2557	48589
25	2679	48845
26	2798	49028
27	2915	49144
28	3022	49092
29	3132	49081
30	3241	49041
31	3345	48925
32	3470	49116
33	3602	49380
34	3716	49377
35	3825	49304
36	3948	49406
37	4043	49155
38	4146	49013
39	4269	49095
40	4389	49145
41	4510	49191
42	4630	49208
43	4748	49208
44	4845	48990
45	4954	48900
46	5087	49039
47	5207	49036
48	5308	48863
49	5418	48767
50	5538	48758
51	5654	48714
52	5754	48529
53	5878	48554
54	5996	48520
55	6097	48344
56	6210	48264
57	6328	48226
58	6445	48179
59	6549	48030
60	6680	48078
61	6808	48096
62	6930	48074
63	7046	48002
64	7171	47994
65	7273	47830
66	7404	47852
67	7530	47839
68	7646	47763
69	7766	47711
70	7884	47641
71	8000	47560
72	8127	47539
73	8232	47393
74	8322	47163
75	8436	47069
76	8546	46949
77	8664	46876
78	8788	46835
79	8906	46761
80	9029	46709
81	9126	46522
82	9232	46386
83	9346	46286
84	9466	46220
85	9576	46098
86	9682	45965
87	9791	45843
88	9878	45620
89	9990	45512
90	10157	45654
91	10292	45644
92	10379	45423
93	10484	45285
94	10590	45148
95	10686	44970
96	10781	44794
97	10906	44739
98	11018	44632
99	11136	44546
100	11241	44410
101	11363	44339
102	11484	44267
103	11607	44197
104	11702	44024
105	11822	43943
106	11949	43890
107	12003	43569
108	12120	43477
109	12234	43377
110	12355	43300
111	12481	43238
112	12594	43134
113	12706	43025
114	12767	42742
115	12893	42681
116	13018	42617
117	13134	42521
118	13257	42447
119	13357	42298
120	13470	42191
121	13602	42144
122	13712	42028
123	13831	41940
124	13954	41864
125	14081	41798
126	14204	41719
127	14325	41634
128	14439	41527
129	14560	41441
130	14683	41360
131	14804	41274
132	14924	41182
133	14998	40966
134	15113	40862
135	15211	40712
136	15249	40404
137	15370	40319
138	15493	40238
139	15593	40097
